timestamp,phase,iteration,http_status,curl_exit,cache_status,backend,instance,time_ms
2026-05-19T09:21:34Z,during-one-replica,36,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,15.578
2026-05-19T09:21:34Z,during-one-replica,37,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,13.269
2026-05-19T09:21:34Z,during-one-replica,38,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,15.183
2026-05-19T09:21:34Z,during-one-replica,39,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,14.907
2026-05-19T09:21:35Z,during-one-replica,40,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,18.307
2026-05-19T09:21:47Z,after-scale-up,1,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,32.272
2026-05-19T09:21:47Z,after-scale-up,2,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,38.342
2026-05-19T09:21:47Z,after-scale-up,3,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,58.121
2026-05-19T09:21:48Z,after-scale-up,4,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,18.390
2026-05-19T09:21:48Z,after-scale-up,5,200,0,hit,10.110.207.51:8080,search-api-8557d46548-wfs6b,170.342
2026-05-19T09:21:48Z,after-scale-up,6,200,0,hit,10.110.207.51:8080,search-api-8557d46548-wfs6b,17.985
2026-05-19T09:21:48Z,after-scale-up,7,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,8.137
2026-05-19T09:21:48Z,after-scale-up,8,200,0,hit,10.110.207.51:8080,search-api-8557d46548-wfs6b,19.031
2026-05-19T09:21:48Z,after-scale-up,9,200,0,hit,10.110.207.51:8080,search-api-8557d46548-wfs6b,15.465
2026-05-19T09:21:48Z,after-scale-up,10,200,0,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,12.616
